#miRNA	gene	correlation	pvalue
Macrophages M0	Add2	-0.528345671008156	0.00038421116979323
Macrophages M0	Ammecr1l	-0.611380015369097	2.17334311673188e-05
Macrophages M0	Hoxd3	-0.642132238437924	6.02603406987143e-06
Macrophages M0	Slc2a8	-0.505031661081714	0.000758229267446054
Macrophages M0	Nfxl1	0.561167347912815	0.000135190803613281
Macrophages M0	Ddx19a /// Ddx19b	-0.550640951632346	0.000191236407449262
Macrophages M0	Apc2	-0.534486174323073	0.000318576303310391
Macrophages M0	Rnase4	0.531739711230163	0.000346572188770226
Macrophages M0	Arfip2	-0.716263766605629	1.39708813039532e-07
Macrophages M0	Efr3a	0.573298719406559	8.93202867752982e-05
Macrophages M0	Tlx3	-0.573572393242174	8.84723859869128e-05
Macrophages M0	Fh1	0.512062184009656	0.000620846319374735
Macrophages M0	Thrb	-0.516377664704311	0.000547977067513647
Macrophages M0	Krt12	-0.507281887978452	0.000711567400549348
Macrophages M0	Scnn1a	-0.55833500302818	0.000148584245332938
Macrophages M0	Cav1	0.576299507156627	8.04133584406376e-05
Macrophages M0	Cmklr1	-0.583832894446335	6.14909865289115e-05
Macrophages M0	Usp12	-0.557042903354409	0.000155083543934811
Macrophages M0	Sytl2	0.532863020215654	0.00033486524668102
Macrophages M0	Oprl1	-0.565165247833738	0.000118141599096061
Macrophages M0	Slc38a3	-0.558499823610226	0.00014777315056928
Macrophages M0	Snapc2	-0.525874678481453	0.000413879426504542
Macrophages M0	Glra1	-0.588580870534825	5.17468639947175e-05
Macrophages M0	Jak3	-0.560314395976483	0.000139104422780944
Macrophages M0	Gpr155	0.565236744117676	0.000117855275317083
Macrophages M0	Gm9923 /// Hbs1l	0.534147479909479	0.000321915189664482
